season,team_city,team_name,team_color,salary,wins,losses,win_percentage
2016-17,Golden State,Warriors,#006BB6,107079254,32,6,.842
2016-17,Houston,Rockets,#CE1141,94091224,30,9,.769
2016-17,San Antonio,Spurs,#B6BFBF,111353969,30,7,.811
2016-17,Cleveland,Cavaliers,#860038,129487297,28,8,.778
2016-17,Los Angeles,Clippers,#ED174C,114756766,26,14,.650
2016-17,Memphis,Grizzlies,#23375B,109555650,24,16,.600
2016-17,Toronto,Raptors,#CE1141,106413030,24,13,.649
2016-17,Boston,Celtics,#008348,93465326,23,14,.622
2016-17,Oklahoma City,Thunder,#007DC3,86919117,23,16,.590
2016-17,Utah,Jazz,#002B5C,80138192,23,16,.590
2016-17,Atlanta,Hawks,#E03A3E,100698578,21,16,.568
2016-17,Charlotte,Hornets,#1D1160,99193019,20,18,.526
2016-17,Indiana,Pacers,#00275D,86279072,20,18,.526
2016-17,Chicago,Bulls,#CE1141,96645147,19,19,.500
2016-17,Detroit,Pistons,#006BB6,115060819,18,21,.462
2016-17,Milwaukee,Bucks,#00471B,102620580,18,18,.500
2016-17,Washington,Wizzards,#002566,104141073,18,18,.500
2016-17,New York,Knicks,#006BB6,103062240,17,21,.447
2016-17,Orlando,Magic,#007DC5,106231566,16,23,.410
2016-17,Portland,Trail Blazers,#F0163A,120139444,16,23,.410
2016-17,Los Angeles,Lakers,#552582,94254746,15,26,.366
2016-17,New Orleans,Pelicans,#002B5C,101156070,15,24,.385
2016-17,Sacramento,Kings,#724C9F,95362741,15,22,.405
2016-17,Denver,Nuggets,#4FA8FF,75614323,14,23,.378
2016-17,Minnesota,Timberwolves,#005083,83932588,12,26,.316
2016-17,Phoenix,Suns,#E56020,85221437,12,26,.316
2016-17,Dallas,Maverics,#007DC5,109857574,11,27,.289
2016-17,Miami,Heat,#98002E,101372443,11,28,.282
2016-17,Philadelphia,76ers,#006BB6,76343462,10,25,.286
2016-17,Brooklyn,Nets,#000000,74739625,8,28,.222